Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
,,,Had a nightmare?,false,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Experienced loneliness?,false,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Have any alcoholic drinks?,false,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Masturbated?,true,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Ate all your meals during daylight hours?,false,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Felt depressed or down?,true,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Felt nervous or anxious?,true,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Feel generally positive about the future?,true,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Consumed added sugar?,true,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Took a melatonin supplement?,true,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
